id,Age,Gender,Org
756583778,19-29,male,non-org
1.4121E+18,<=18,female,non-org
1.20379E+18,<=18,female,non-org
216188727,19-29,female,non-org
500169726,19-29,male,non-org
66162566,>=40,male,non-org
48532671,>=40,male,non-org
3293552511,19-29,male,non-org
14799078,>=40,female,non-org
1.25853E+18,>=40,male,non-org
1.10216E+18,19-29,male,non-org
1.10216E+18,19-29,male,non-org
1.30268E+18,19-29,male,non-org
1.17475E+18,30-39,male,is-org
108645462,19-29,male,non-org
412860142,19-29,female,non-org
77238888,<=18,female,non-org
8.63518E+17,>=40,male,non-org
8.214E+17,<=18,male,non-org
8.214E+17,<=18,male,non-org
8.214E+17,<=18,male,non-org
14599103,>=40,male,non-org
111724654,30-39,male,non-org
36771147,19-29,male,is-org
1.12374E+18,>=40,male,is-org
1.29694E+18,<=18,male,non-org
1.37565E+18,>=40,male,is-org
1.40345E+18,30-39,male,is-org
1.40607E+18,>=40,male,is-org
1640288972,<=18,male,non-org
1640288972,<=18,male,non-org
9.59271E+17,19-29,male,non-org
9.59271E+17,19-29,male,non-org
59754981,<=18,male,is-org
59754981,<=18,male,is-org
59754981,<=18,male,is-org
1.38788E+18,<=18,male,non-org
19965305,<=18,female,non-org
1451685698,>=40,male,is-org
1.35783E+18,30-39,female,non-org
9.40731E+17,>=40,male,non-org
1.44215E+18,19-29,male,is-org
1.35278E+18,>=40,male,non-org
1065403506,19-29,male,non-org
2615127202,30-39,male,non-org
254140001,>=40,male,is-org
1464421446,19-29,male,non-org
1464421446,19-29,male,non-org
1.33969E+18,19-29,male,non-org
1.36241E+18,>=40,male,non-org
1.31997E+18,<=18,male,non-org
1.043E+18,30-39,male,non-org
28367986,19-29,male,non-org
1.13855E+18,19-29,male,non-org
1285350306,19-29,male,non-org
1.07108E+18,<=18,male,non-org
7.72115E+17,19-29,female,non-org
7.72115E+17,19-29,female,non-org
1.17946E+18,>=40,male,non-org
1327831411,<=18,male,non-org
1.35508E+18,<=18,male,non-org
1.04631E+18,<=18,male,is-org
3295355949,>=40,male,non-org
485952577,19-29,female,non-org
381049278,30-39,male,non-org
1.44275E+18,19-29,female,non-org
9.92886E+17,<=18,female,non-org
331989927,19-29,male,non-org
1.36175E+18,<=18,male,non-org
8.12381E+17,<=18,male,non-org
8.12381E+17,<=18,male,non-org
2154341054,19-29,male,non-org
3352155988,<=18,male,non-org
143432552,>=40,male,is-org
19378021,<=18,male,is-org
578895773,<=18,male,non-org
1.22888E+18,<=18,female,non-org
16993249,<=18,female,non-org
1.41278E+18,30-39,male,non-org
302206097,<=18,female,is-org
1.39685E+18,<=18,male,non-org
458815457,>=40,male,is-org
7.68217E+17,>=40,male,is-org
1.33879E+18,>=40,male,non-org
1.33879E+18,>=40,male,non-org
548736823,30-39,female,non-org
52862488,19-29,female,non-org
8.17769E+17,<=18,female,non-org
1476496921,19-29,female,non-org
140244725,19-29,male,non-org
4873006353,19-29,female,non-org
1.35127E+18,30-39,male,is-org
2177896862,19-29,male,is-org
1.34969E+18,19-29,male,non-org
1.34969E+18,19-29,male,non-org
9.32758E+17,19-29,male,non-org
2342034456,<=18,male,non-org
8.50454E+17,30-39,male,is-org
4143249442,19-29,male,non-org
61422393,<=18,male,non-org
61422393,<=18,male,non-org
15002221,19-29,male,non-org
8.04471E+17,19-29,male,non-org
1.42582E+18,30-39,male,non-org
